Hylak_id,Lake_name,lake_class
2,Great Bear,Cold and mesic
3,Great Slave,Cold and mesic
4,Winnipeg,Cold and mesic
5,Superior,Cold and mesic
6,Michigan,Cool temperate and dry
7,Ontario,Cool temperate and dry
8,Huron,Cold and mesic
9,Erie,Cool temperate and moist
19,Selawik,Extremely cold and mesic
20,Netilling,Extremely cold and mesic
21,Takiyuak,Extremely cold and mesic
22,Contwoyto,Extremely cold and mesic
23,Amadjuak,Extremely cold and mesic
24,Aberdeen,Extremely cold and mesic
25,Baker,Extremely cold and mesic
26,Dubawnt,Extremely cold and mesic
27,Martre,Cold and mesic
28,Yathkyed,Extremely cold and mesic
29,Nueltin,Extremely cold and mesic
30,Kasba,Extremely cold and mesic
31,Iliamna,Cold and mesic
32,Wollaston,Cold and mesic
33,Athabasca,Cold and mesic
34,Claire,Cold and mesic
35,Becharof,Extremely cold and mesic
36,Cree,Cold and mesic
37,Southern Indian,Cold and mesic
38,Reindeer,Cold and mesic
39,Lac a L'Eau Claire,Extremely cold and mesic
40,Williston,Cold and mesic
41,La Ronge,Cold and mesic
42,Lesser Slave,Cold and mesic
43,Caniapiscau Reservoir,Extremely cold and mesic
44,Gods,Cold and mesic
45,Laforge 1 Reservoir,Extremely cold and mesic
46,Robert Bourassa Reservoir,Extremely cold and mesic
47,La Grande 3 Reservoir,Extremely cold and mesic
48,Moose,Cold and mesic
49,Michikamau,Extremely cold and mesic
50,Melville,Extremely cold and mesic
51,Cedar,Cold and mesic
52,Winnipegosis,Cold and mesic
53,Manitoba,Cool temperate and dry
54,Mistassini,Cold and mesic
55,Manicouagan Reservoir,Extremely cold and mesic
56,Seul,Cold and mesic
57,Woods,Cool temperate and dry
58,Nipigon,Cold and mesic
59,Saint-Jean,Cold and mesic
60,Gouin Reservoir,Cold and mesic
61,Red Lake Reservoir,Cool temperate and dry
62,Fort Berthold Reservoir,Cool temperate and dry
63,Bras d'Or,Cold and mesic
64,Champlain,Cool temperate and dry
65,Oahe,Cool temperate and xeric
66,Saint Clair,Cool temperate and moist
67,Great Salt,Cool temperate and xeric
68,Pontchartrain,Hot and dry
69,Okeechobee,Hot and mesic
70,Chapala,Hot and dry
71,Managua,Extremely hot and xeric
72,Nicaragua,Extremely hot and moist
73,Guri Reservoir,Extremely hot and moist
74,Brokopondo Reservoir,Extremely hot and moist
75,Balbina Reservoir,Extremely hot and moist
76,Tucurui Reservoir,Extremely hot and moist
77,Sobradinho Reservoir,Extremely hot and xeric
78,Titicaca,Cool temperate and dry
79,Poopo,Cool temperate and dry
80,Ilha Solteira Reservoir,Hot and mesic
81,Porto Primavera Reservoir,Hot and mesic
82,Itaipu,Hot and mesic
83,Aperea Reservoir,Hot and mesic
84,Salinas Grandes,Hot and dry
85,Chiquita,Hot and dry
86,Mirim,Hot and dry
87,Buenos Aires,Cool temperate and dry
88,San Martin,Cold and mesic
89,Viedma,Cool temperate and dry
90,Argentino,Cool temperate and dry
179,Hazen,Extremely cold and mesic
184,Crooked,Extremely cold and mesic
186,Zeta,Extremely cold and mesic
187,Angajurjualuk,Extremely cold and mesic
188,Quartz,Extremely cold and mesic
189,Tahiryuak,Extremely cold and mesic
190,Namaycush,Extremely cold and mesic
191,Nina Bang,Extremely cold and mesic
192,Erichsen,Extremely cold and mesic
193,Teshekpuk,Extremely cold and mesic
197,Neergaure,Extremely cold and mesic
199,Washburn,Extremely cold and mesic
200,Tahoe,Extremely cold and mesic
201,Quunnguq,Extremely cold and mesic
202,Jayko,Extremely cold and mesic
205,Jekyll,Extremely cold and mesic
206,Eskimo North,Extremely cold and mesic
207,Surrey,Extremely cold and mesic
208,Labaz,Extremely cold and mesic
210,Pangnikto,Extremely cold and mesic
211,Netsilik,Extremely cold and mesic
213,Eskimo Southern,Extremely cold and mesic
216,Lady Melville,Extremely cold and mesic
217,Hall,Extremely cold and mesic
218,Bluenose,Extremely cold and mesic
219,Sitidgi,Extremely cold and mesic
223,Horton,Extremely cold and mesic
224,Maunoir,Extremely cold and mesic
226,MacNaughton,Extremely cold and mesic
227,Aubry,Extremely cold and mesic
228,Colville,Extremely cold and mesic
230,Bois,Extremely cold and mesic
231,Belot,Extremely cold and mesic
233,Curtis,Extremely cold and mesic
234,McAlpine Lane,Extremely cold and mesic
235,Inland Lake,Extremely cold and mesic
240,Garry (Lower),Extremely cold and mesic
241,Rockinghorse,Extremely cold and mesic
244,Garry( Upper),Extremely cold and mesic
245,Pelly,Extremely cold and mesic
246,Deep Rose,Extremely cold and mesic
249,Hansine,Extremely cold and mesic
253,Itchen,Extremely cold and mesic
254,Mahony,Cold and mesic
255,Nose,Extremely cold and mesic
258,Hottah,Cold and mesic
262,Imuruk Basin,Extremely cold and mesic
265,Tehek,Extremely cold and mesic
269,Yamba,Extremely cold and mesic
270,Hardish,Cold and mesic
271,Luran,Extremely cold and mesic
273,Schultz,Extremely cold and mesic
274,Mingo,Extremely cold and mesic
275,Birch,Cold and mesic
277,Beverly,Extremely cold and mesic
278,Point,Extremely cold and mesic
279,Gras,Extremely cold and mesic
280,Whitehills,Extremely cold and mesic
284,Marjorie,Extremely cold and mesic
286,Blackwater,Cold and mesic
287,Mackay,Extremely cold and mesic
288,Ingray,Cold and mesic
290,Aylmer,Extremely cold and mesic
291,Keller,Cold and mesic
293,Wharton,Extremely cold and mesic
295,Pitz,Extremely cold and mesic
297,Mallery,Extremely cold and mesic
298,Grandin,Cold and mesic
301,Faber,Cold and mesic
302,Princess Mary,Extremely cold and mesic
303,Tebesjuak,Extremely cold and mesic
304,"Enemy, lake of the",Extremely cold and mesic
307,Clinton Colden,Extremely cold and mesic
309,Ford,Extremely cold and mesic
311,Fletcher,Extremely cold and mesic
314,Walmsley,Extremely cold and mesic
316,Campbell,Extremely cold and mesic
319,Tulemalu,Extremely cold and mesic
321,Fish,Cold and mesic
323,Tyrrell,Extremely cold and mesic
324,Gordon,Cold and mesic
326,Nutarawit,Extremely cold and mesic
327,Artillery,Extremely cold and mesic
331,Bulmer,Cold and mesic
332,Kaminuriak,Extremely cold and mesic
334,White Fish,Extremely cold and mesic
335,Kamilukuak,Extremely cold and mesic
336,Mosquito,Extremely cold and mesic
337,Mary,Extremely cold and mesic
340,Kaminak,Extremely cold and mesic
341,Nowleye,Extremely cold and mesic
342,Aggikani,Extremely cold and mesic
344,Sid,Extremely cold and mesic
345,Carey,Extremely cold and mesic
346,Angikuni,Extremely cold and mesic
348,Willow,Cold and mesic
350,Barlow,Extremely cold and mesic
352,Tazlina Lake,Extremely cold and mesic
357,Boyd,Extremely cold and mesic
358,North Henik,Extremely cold and mesic
359,Nonacho,Cold and mesic
362,Maguse,Extremely cold and mesic
363,Kluane,Cold and mesic
365,Laberge,Cold and mesic
366,Firedrake,Extremely cold and mesic
368,Hicks,Extremely cold and mesic
369,Aishihik,Cold and mesic
370,Ennadai,Extremely cold and mesic
371,Watterson,Extremely cold and mesic
372,South Henik,Extremely cold and mesic
374,Kayigyalik Lake,Extremely cold and mesic
375,Aropuk Lake,Extremely cold and mesic
376,Nantais,Extremely cold and wet 2
380,Kagalurpak Lake,Extremely cold and mesic
382,Nunavakpak Lake,Extremely cold and mesic
383,Wholdaia,Extremely cold and mesic
385,Tatinnai,Extremely cold and mesic
386,Trout,Cold and mesic
387,Tathlina,Cold and mesic
394,Teslin,Cold and mesic
395,Snowbird,Extremely cold and mesic
397,Buffalo,Cold and mesic
399,Dall Lake,Extremely cold and mesic
402,Tustumena Lake,Cold and mesic
406,Lake Clark,Cold and mesic
407,"Lakes Nuyakuk, Tikchik, Chauekuktuli",Extremely cold and mesic
408,Baralzon,Extremely cold and mesic
409,Selwyn,Cold and mesic
410,Scott,Cold and mesic
412,Tazin,Cold and mesic
414,Bistcho,Cold and mesic
419,Atlin,Cold and mesic
420,Nejanilini,Extremely cold and mesic
421,Lake Nerka,Extremely cold and mesic
423,Payne,Extremely cold and mesic
425,Black,Cold and mesic
426,Kukaklek Lake,Extremely cold and mesic
428,Riou,Cold and mesic
430,Nonvianuk Lake,Extremely cold and mesic
432,Faribault,Extremely cold and mesic
433,Davy,Cold and mesic
437,Tadouie,Extremely cold and mesic
438,Hatchett,Cold and mesic
439,Naknek,Extremely cold and mesic
442,Lake Grosvenor,Extremely cold and mesic
444,Brochet,Cold and mesic
445,Pasfield,Cold and mesic
451,Big Sand,Cold and mesic
452,Minto,Extremely cold and mesic
453,Upper Ugashik Lake,Extremely cold and mesic
454,Lower Ugashik Lake,Extremely cold and mesic
456,Gauer,Cold and mesic
459,Barrington,Cold and mesic
460,Lwe Moyne,Extremely cold and mesic
462,Notigi Reservoir,Cold and mesic
464,Baldock,Cold and mesic
467,Wasekamio and Turnor,Cold and mesic
468,Waskaiowaka,Cold and mesic
471,Granville,Cold and mesic
474,Castignon,Extremely cold and mesic
475,Loche,Cold and mesic
477,Stephens,Cold and mesic
479,Split,Cold and mesic
481,Guillaume-Delisle,Extremely cold and mesic
484,North Wabasca,Cold and mesic
485,Otelnuc,Extremely cold and mesic
493,Ile-a-la-Crosse,Cold and mesic
494,Utikuma,Cold and mesic
498,Peter Pond,Cold and mesic
499,Churchill,Cold and mesic
500,Pinehouse,Cold and mesic
506,Winefred,Cold and mesic
507,Besnard,Cold and mesic
516,Utik,Cold and mesic
517,Babine,Cold and mesic
520,Sipiwesk,Cold and mesic
521,Canoe,Cold and mesic
522,Knee,Cold and mesic
523,Calling,Cold and mesic
524,Plonge,Cold and mesic
525,Bear,Cold and mesic
527,Egg,Cold and mesic
528,Takla,Cold and mesic
530,Bienville,Extremely cold and mesic
531,Biche,Cold and mesic
532,Oxford,Cold and mesic
534,Wapawekka,Cold and mesic
535,Wekusko,Cold and mesic
536,Primrose,Cold and mesic
537,Deschambault,Cold and mesic
538,Burton,Extremely cold and mesic
540,Laforge 2,Extremely cold and mesic
543,Edmund,Cold and mesic
544,Walker,Cold and mesic
545,Smoothstone,Cold and mesic
547,Dore,Cold and mesic
550,Reed,Cold and mesic
551,Cold,Cold and mesic
552,Athapapuskow,Cold and mesic
553,Kiskittogisu,Cold and mesic
554,Montreal,Cold and mesic
557,Stuart,Cold and mesic
558,Amisk,Cold and mesic
559,Goose,Cold and mesic
560,Julian,Extremely cold and mesic
563,Beaver Hill,Cold and mesic
564,Kiskitto,Cold and mesic
565,Molson,Cold and mesic
567,Red Sucker,Cold and mesic
568,Cormorant,Cold and mesic
569,Talbot,Cold and mesic
570,Clearwater,Cold and mesic
571,Little Sachigo,Cold and mesic
573,Nipishich,Extremely cold and mesic
574,Crean,Cold and mesic
575,Delarondo,Cold and mesic
576,Island,Cold and mesic
577,Rocky,Cold and mesic
578,Playgreen,Cold and mesic
581,Cumberland,Cold and mesic
582,Stevenson,Cold and mesic
583,William,Cold and mesic
584,Sachigo,Cold and mesic
585,La Grande 4 Reservoir,Extremely cold and mesic
586,Candle,Cold and mesic
587,Big Trout,Cold and mesic
588,Big Stone,Cold and mesic
589,Tobin,Cold and mesic
591,Nechako Reservoir,Cold and mesic
592,Grand,Extremely cold and mesic
594,Beaverhill,Cold and mesic
596,Sakami,Extremely cold and mesic
597,Ossokamanuan Reservoir,Extremely cold and mesic
598,Opiscoteq,Extremely cold and mesic
599,Eutsuk,Cold and mesic
600,Nichicun,Extremely cold and mesic
601,Wabush,Extremely cold and mesic
604,Sandy,Cold and mesic
606,Ashuanipi,Extremely cold and mesic
607,Atikonak,Extremely cold and mesic
611,Naococane,Extremely cold and mesic
612,Weagamow,Cold and mesic
614,Red Deer,Cool temperate and dry
615,North Caribou,Cold and mesic
617,Joseph,Extremely cold and mesic
618,Swan,Cool temperate and dry
619,Quesnel,Cold and mesic
620,Pelican,Cool temperate and dry
621,MacDowell,Cold and mesic
623,Opinaca Reservoir,Cold and mesic
624,Eastmain Reservoir,Cold and mesic
628,Kinbasket,Cold and mesic
630,Fleur de May,Extremely cold and mesic
632,Waterhen,Cool temperate and dry
634,Petit Manicouagan,Extremely cold and mesic
635,St. Martin,Cool temperate and dry
636,Chilko,Cold and mesic
638,Pletipi,Extremely cold and mesic
641,Dauphin,Cool temperate and dry
643,Diefenbaker,Cool temperate and dry
644,St. Joseph,Cold and mesic
645,Albaniel,Cold and mesic
646,Trout,Cold and mesic
648,Revelstoke,Cold and mesic
649,Evans,Cold and mesic
650,Red,Cold and mesic
651,Adams,Cool temperate and dry
653,Shuswap,Cool temperate and dry
657,Last Mountain,Cool temperate and dry
659,Savant,Cold and mesic
661,Kempt,Extremely cold and mesic
664,Assinica,Cold and mesic
665,Kesagami,Cold and mesic
666,Poncheville,Cold and mesic
667,Lac du Bonnet Reservoir,Cool temperate and dry
670,Umfreville,Cool temperate and dry
672,Ste. Anne,Extremely cold and mesic
674,Sturgeon,Cold and mesic
676,Matagami,Cold and mesic
677,Minnitaki,Cold and mesic
679,Chibougamau,Cold and mesic
680,Peribonka,Cold and mesic
683,Goeland,Cold and mesic
685,Wabigoon,Cool temperate and dry
686,Manic Trois,Cold and mesic
