"","Hylak_id","variable","value","date"
"1",792,"1995-01-01",22170.111,1995-01-01
"2",792,"1995-02-01",14702.39,1995-02-01
"3",792,"1995-03-01",25325.668,1995-03-01
"4",792,"1995-04-01",26127.43,1995-04-01
"5",792,"1995-05-01",27283.44,1995-05-01
"6",792,"1995-06-01",41066.16,1995-06-01
"7",792,"1995-07-01",57705.203,1995-07-01
"8",792,"1995-08-01",77206.62,1995-08-01
"9",792,"1995-09-01",70553.16,1995-09-01
"10",792,"1995-10-01",66880.56,1995-10-01
"11",792,"1995-11-01",46380.875,1995-11-01
"12",792,"1995-12-01",37178.863,1995-12-01
"13",792,"1996-01-01",28832.46,1996-01-01
"14",792,"1996-02-01",20583.71,1996-02-01
"15",792,"1996-03-01",24682.588,1996-03-01
"16",792,"1996-04-01",28955.566,1996-04-01
"17",792,"1996-05-01",40839.57,1996-05-01
"18",792,"1996-06-01",50720.605,1996-06-01
"19",792,"1996-07-01",64663,1996-07-01
"20",792,"1996-08-01",81211.49,1996-08-01
"21",792,"1996-09-01",75374.33,1996-09-01
"22",792,"1996-10-01",64249.75,1996-10-01
"23",792,"1996-11-01",45187.223,1996-11-01
"24",792,"1996-12-01",37043.496,1996-12-01
"25",792,"1997-01-01",24151.137,1997-01-01
"26",792,"1997-02-01",19720.275,1997-02-01
"27",792,"1997-03-01",23694.83,1997-03-01
"28",792,"1997-04-01",33202.773,1997-04-01
"29",792,"1997-05-01",36394.395,1997-05-01
"30",792,"1997-06-01",53728.152,1997-06-01
"31",792,"1997-07-01",67272.28,1997-07-01
"32",792,"1997-08-01",76382.42,1997-08-01
"33",792,"1997-09-01",71029,1997-09-01
"34",792,"1997-10-01",66472.05,1997-10-01
"35",792,"1997-11-01",43221.465,1997-11-01
"36",792,"1997-12-01",35675.168,1997-12-01
"37",792,"1998-01-01",23370.6,1998-01-01
"38",792,"1998-02-01",18633.914,1998-02-01
"39",792,"1998-03-01",18721.69,1998-03-01
"40",792,"1998-04-01",25199.611,1998-04-01
"41",792,"1998-05-01",29215.734,1998-05-01
"42",792,"1998-06-01",34388.1,1998-06-01
"43",792,"1998-07-01",49357.27,1998-07-01
"44",792,"1998-08-01",73411.75,1998-08-01
"45",792,"1998-09-01",65588.625,1998-09-01
"46",792,"1998-10-01",65913.64,1998-10-01
"47",792,"1998-11-01",45070.32,1998-11-01
"48",792,"1998-12-01",34068.84,1998-12-01
"49",792,"1999-01-01",25603.541,1999-01-01
"50",792,"1999-02-01",19549.646,1999-02-01
"51",792,"1999-03-01",22859.922,1999-03-01
"52",792,"1999-04-01",30314.305,1999-04-01
"53",792,"1999-05-01",37304.215,1999-05-01
"54",792,"1999-06-01",51946.11,1999-06-01
"55",792,"1999-07-01",71844.77,1999-07-01
"56",792,"1999-08-01",73251.07,1999-08-01
"57",792,"1999-09-01",71468.48,1999-09-01
"58",792,"1999-10-01",66674.15,1999-10-01
"59",792,"1999-11-01",47093.637,1999-11-01
"60",792,"1999-12-01",37980.42,1999-12-01
"61",792,"2000-01-01",26059.89,2000-01-01
"62",792,"2000-02-01",19369.836,2000-02-01
"63",792,"2000-03-01",24501.24,2000-03-01
"64",792,"2000-04-01",28231.02,2000-04-01
"65",792,"2000-05-01",40869.195,2000-05-01
"66",792,"2000-06-01",55211.297,2000-06-01
"67",792,"2000-07-01",75527.086,2000-07-01
"68",792,"2000-08-01",78821.73,2000-08-01
"69",792,"2000-09-01",72632.61,2000-09-01
"70",792,"2000-10-01",60104.46,2000-10-01
"71",792,"2000-11-01",43106.14,2000-11-01
"72",792,"2000-12-01",32737.383,2000-12-01
"73",792,"2001-01-01",27242.648,2001-01-01
"74",792,"2001-02-01",21181.861,2001-02-01
"75",792,"2001-03-01",17686.703,2001-03-01
"76",792,"2001-04-01",31233.932,2001-04-01
"77",792,"2001-05-01",40284.53,2001-05-01
"78",792,"2001-06-01",63773.242,2001-06-01
"79",792,"2001-07-01",72315.04,2001-07-01
"80",792,"2001-08-01",80692.69,2001-08-01
"81",792,"2001-09-01",74380.805,2001-09-01
"82",792,"2001-10-01",65800.07,2001-10-01
"83",792,"2001-11-01",47457.285,2001-11-01
"84",792,"2001-12-01",34712.105,2001-12-01
"85",792,"2002-01-01",26960.553,2002-01-01
"86",792,"2002-02-01",20519.93,2002-02-01
"87",792,"2002-03-01",26170.9,2002-03-01
"88",792,"2002-04-01",26129.305,2002-04-01
"89",792,"2002-05-01",41443.32,2002-05-01
"90",792,"2002-06-01",55521.703,2002-06-01
"91",792,"2002-07-01",70628.06,2002-07-01
"92",792,"2002-08-01",85060.49,2002-08-01
"93",792,"2002-09-01",78354.695,2002-09-01
"94",792,"2002-10-01",65355.188,2002-10-01
"95",792,"2002-11-01",50360.945,2002-11-01
"96",792,"2002-12-01",35887.4,2002-12-01
"97",792,"2003-01-01",21452.617,2003-01-01
"98",792,"2003-02-01",22078.87,2003-02-01
"99",792,"2003-03-01",25044.371,2003-03-01
"100",792,"2003-04-01",30105.508,2003-04-01
"101",792,"2003-05-01",33295.84,2003-05-01
"102",792,"2003-06-01",50254.38,2003-06-01
"103",792,"2003-07-01",68907.43,2003-07-01
"104",792,"2003-08-01",74609.96,2003-08-01
"105",792,"2003-09-01",77716.61,2003-09-01
"106",792,"2003-10-01",69109.914,2003-10-01
"107",792,"2003-11-01",47234.832,2003-11-01
"108",792,"2003-12-01",35148.773,2003-12-01
"109",792,"2004-01-01",25850.27,2004-01-01
"110",792,"2004-02-01",20797.29,2004-02-01
"111",792,"2004-03-01",19224.717,2004-03-01
"112",792,"2004-04-01",33346.695,2004-04-01
"113",792,"2004-05-01",44912.89,2004-05-01
"114",792,"2004-06-01",57872.38,2004-06-01
"115",792,"2004-07-01",72935.375,2004-07-01
"116",792,"2004-08-01",81390.02,2004-08-01
"117",792,"2004-09-01",79403.31,2004-09-01
"118",792,"2004-10-01",62666.74,2004-10-01
